text;attention
The;0.99968874
quote;3.947583e-06
"""Little";8.433678e-06
things;7.194271e-06
can;2.7982492e-06
grow;4.9720475e-06
"big""";8.509736e-06
is;2.4741325e-06
significant;2.8247318e-06
because;3.980468e-06
it;2.4173219e-06
emphasizes;3.6704398e-06
the;2.8433021e-06
importance;3.3700644e-06
of;2.6908447e-06
paying;2.9945256e-06
attention;3.543541e-06
to;2.4131803e-06
small;3.875489e-06
details;5.760573e-06
and;2.6163318e-06
considering;2.761956e-06
their;2.5960999e-06
potential;3.3215806e-06
impact.;5.4225716e-06
It;2.2603977e-06
suggests;2.8174625e-06
that;2.839741e-06
seemingly;3.7090476e-06
insignificant;6.741566e-06
occurrences;5.1863035e-06
or;2.297371e-06
actions;2.9042906e-06
can;2.5858187e-06
have;2.1765347e-06
a;2.0794107e-06
significant;2.5530644e-06
impact;2.8062718e-06
on;2.1583533e-06
the;2.230191e-06
bigger;2.6357734e-06
picture,;3.2535042e-06
and;2.1151884e-06
that;2.4442497e-06
one;1.9911597e-06
should;2.2920467e-06
not;2.4619499e-06
underestimate;3.121485e-06
the;2.057142e-06
power;2.2386719e-06
of;1.98707e-06
small;2.2762952e-06
things.;3.2206055e-06
This;2.206166e-06
quote;3.0524725e-06
can;2.1724788e-06
be;2.114769e-06
applied;3.1275217e-06
in;2.4010687e-06
various;2.4249111e-06
contexts,;4.082502e-06
such;2.5319912e-06
as;2.5522124e-06
personal;3.191866e-06
growth,;3.5973023e-06
business,;3.7665081e-06
or;2.0702514e-06
even;2.0581465e-06
global;2.4043247e-06
issues,;2.8271947e-06
as;2.0212528e-06
it;2.0786256e-06
reminds;2.2190695e-06
us;2.0653295e-06
to;2.2442362e-06
be;2.3219504e-06
mindful;3.1149546e-06
of;2.0031284e-06
our;2.1832893e-06
actions;2.9429816e-06
and;2.017767e-06
the;2.0159973e-06
potential;2.3552209e-06
consequences;2.5299778e-06
they;1.8964622e-06
may;1.9154713e-06
have.;2.4673252e-06
It;1.982062e-06
encourages;2.6090463e-06
us;1.9533625e-06
to;1.9736042e-06
take;1.956795e-06
a;2.0376478e-06
holistic;3.0981655e-06
view;2.1007063e-06
of;2.0119332e-06
life;3.1477766e-06
and;1.912516e-06
recognize;2.0295895e-06
the;2.1296466e-06
interconnectedness;2.6054383e-06
of;1.8777888e-06
all;1.993223e-06
things,;2.3004604e-06
even;1.9088445e-06
if;1.891093e-06
they;1.8864961e-06
appear;2.125337e-06
small;2.259378e-06
at;1.9305185e-06
first;1.8513209e-06
glance.;1.8183531e-06
